"","GSM1318547","GSM1318548","GSM1318549","GSM1318550","GSM1318552","GSM1318553","GSM1318554","GSM1318555"
"1",5.55478062310327,5.90148495658825,5.34623228753258,5.80764805499818,5.1849827546024,5.53155555962231,5.37570742654139,5.32112093610637
"10",5.14962729619927,4.91524027299886,5.34906090153408,5.15581360246935,4.82718758689939,5.13016763493859,5.20055118179279,4.98384798529576
"100",8.88505005161446,8.77583870824823,9.22964654860798,8.91739265395796,9.37119268722126,8.91347107194194,9.19830848927529,8.8377876308691
"1000",4.86839968481685,4.79530735270833,4.88184659869839,4.83861169029482,5.0268124043342,5.00297756476027,4.93117946187783,4.96263602576118
"10000",6.19468905987291,6.2893436637871,6.1567116770459,5.79775026476415,5.71564608623134,5.64273978827567,5.70692948456657,5.50755745006381
"100008586",5.10732681293982,5.0542240857169,5.0555763885819,5.12148590605806,5.05964605083537,5.13163536076229,4.97829114347594,4.95739386579201
"100008588",12.5910885367537,12.2875340212112,13.0575064394136,12.267812835568,12.9756521979331,12.772839176429,12.9903711454077,12.5740008115894
"100008589",10.9403324257074,11.2027479148689,11.4703700495856,11.263111830804,10.9730609948158,10.5150166583166,10.1486601109453,10.3037172811106
"100009676",5.68775355056303,5.45046413534243,5.4116009687557,5.78105953283925,5.21871924386291,5.34731497165959,5.62671842139987,5.88411343304776
"10001",7.99601805519625,8.55713106915342,8.55480713990893,8.78861849151623,8.54339687768018,8.14370536874738,8.06127340911785,8.13644978367972
"10002",4.74440345807291,4.82676187940831,4.80806739161469,4.8935584944614,4.74419580994887,4.82816162340335,4.90346893647467,4.7974843391644
"10003",5.52798544701114,5.29875956454298,5.65111274999997,5.16942703286407,5.15598852529489,5.63016626507831,5.33623276867271,5.21285014986614
"100033414",5.24240194695016,5.47019977918936,4.92060901783363,4.9673226552139,5.57820973705785,5.58014540964642,5.24240194695016,5.4023364175444
"100033416",4.66989042658435,4.67195145385563,4.7273702137309,4.6563569379881,4.73997192366921,4.76924810765487,4.65248677254034,4.71220717098243
"100033425",5.08063415997998,5.18865063577854,5.16070647785483,4.89464565664517,5.34731497165959,5.07111222557979,4.85255436838727,5.01433017041615
"100033439",5.44219130715603,5.58742564980792,5.35213736662004,5.7346140912315,5.42181261263641,5.05981164522639,5.27566878797689,5.51987180853997
"100033453",5.11261642442479,5.15298483510636,5.14588074325312,4.90161846851028,5.05658186059515,5.67065441614147,5.06117271859134,5.17077367335454
"100033821",5.36552934444874,5.3470939165085,5.3147015375355,5.47206176290513,5.10928955070042,5.03882969625325,5.03750382405934,5.3053188182364
"100033822",5.26716569175534,4.83886470010666,5.07663964258605,5.22359670652537,5.36178248168454,5.1270488354283,5.04865737521242,5.09856828964054
"100034743",4.78451547584909,4.94349336975837,4.96113888239707,4.94511080939488,4.8549640310114,5.17153503195708,5.01545375129233,5.04649172349702
"100036566",5.25668437427745,5.41590330971558,4.8133722141158,5.1201236999328,5.03866202004982,5.00519649557259,4.98246674133585,4.96203999729867
"100037417",5.33125786684938,5.1997542618188,5.5932509332389,5.78419794767168,5.57021618454839,5.17153503195708,5.36068923081401,6.25492174249058
"100038246",5.13457727868118,5.27400704375187,5.55023237512113,5.45671694564617,5.4295753475336,5.25309710027328,5.18535821895373,5.33103646506496
"10004",7.86693514159685,7.96867050971185,7.86817061986792,7.99234015384147,8.07558287706786,8.00454012938066,7.77812244933557,7.89705520718026
"100048912",5.552395306464,5.41976504685402,5.36729451756557,5.76613508799983,5.63831172884786,5.69671808225149,5.62671842139987,5.15976457613827
"100049587",9.71410707294796,9.15857976192078,8.83413726469425,9.43945566242276,9.43709016411619,8.91096314649413,9.91411509912644,9.84281293009003
"100049716",5.49644468895816,5.50234088208553,6.11469649772919,5.60959105703608,5.6400211043037,5.56176738743433,5.88572199718324,5.7356225732973
"10005",6.91228864702877,6.63501200653362,6.4290259291222,6.13572269143005,6.28112004896054,5.96121132705847,6.58804441815893,6.81499851027971
"10006",5.64717563553683,5.6366842753776,5.21553586842401,5.38574094909323,5.52439965546301,5.4924425884914,6.19885228532371,6.14186120793051
"10007",9.5111485624239,9.62909591922368,9.10120592846095,9.46772148127886,9.49479438675321,9.81266972018546,9.62508213046503,9.6077360522397
"100073347",5.30701779469863,5.63263124516099,5.3879596028825,5.34339631252865,5.24667709749521,5.55791834169259,5.52249861983597,5.44102800682321
"10008",5.37703773812708,6.12064234550979,5.8962321660328,5.34339631252865,5.56381593165151,5.69870241217017,5.60934332459116,5.48023994164072
"10009",10.614486149524,10.3013969008941,10.4544349142678,10.5802179484306,10.6627190116336,10.5124633472163,10.5348810074466,10.559144649054
"100093630",9.92281761630884,9.70077676188404,9.77613590095077,9.65008803907034,8.72815655852683,9.02337497666071,9.13588725961102,8.2215600327175
"100093631",5.263462831138,5.88974557266413,5.43552580309662,5.49572050655536,5.43163361575181,5.25115651114367,5.70119503641754,6.18055045016351
"1001",4.74280524528929,4.7105216878901,4.81065432552141,4.71843088136576,4.77121361039187,4.81006619408479,4.77175796151107,4.76468938498872
